KnowledgeBase.getPropertyObjectAsTriples;188;-253952;;;;
StorageAccessManager.getDataProperty;190;-253952;;;;
PolicyManager.getAllowedModel;179;-4096;;;;
StorageAccessManager.getPersonByUserId;181;-4096;;;;
StorageAccessManager.getPropertyNode;0;0;;;;
PolicyManager.getAllowedModel;190;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;194;0;;;;
StorageAccessManager.getObjectProperty;229;0;;;;
StorageAccessManager.getPropertyNode;1;0;;;;
PolicyManager.isAllowed_t;66;0;;;;
KnowledgeBase.addTriple;269;253952;;;;
StorageAccessManager.setObjectProperty;271;253952;;;;
StorageAccessManager.getPropertyNode;0;0;;;;
PolicyManager.getAllowedModel;186;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;187;0;;;;
StorageAccessManager.getDataProperty;189;0;;;;
PolicyManager.getAllowedModel;183;0;;;;
StorageAccessManager.getPersonByUserId;186;0;;;;
StorageAccessManager.getPropertyNode;0;0;;;;
PolicyManager.getAllowedModel;192;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;197;0;;;;
StorageAccessManager.getObjectProperty;234;0;;;;
StorageAccessManager.getPropertyNode;1;0;;;;
PolicyManager.isAllowed_t;71;0;;;;
KnowledgeBase.addTriple;264;0;;;;
StorageAccessManager.setObjectProperty;266;0;;;;
StorageAccessManager.getPropertyNode;1;0;;;;
PolicyManager.getAllowedModel;186;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;189;0;;;;
StorageAccessManager.getDataProperty;190;0;;;;
PolicyManager.getAllowedModel;181;0;;;;
StorageAccessManager.getPersonByUserId;184;0;;;;
StorageAccessManager.getPropertyNode;0;0;;;;
PolicyManager.getAllowedModel;194;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;199;0;;;;
StorageAccessManager.getObjectProperty;246;0;;;;
StorageAccessManager.getPropertyNode;1;0;;;;
PolicyManager.isAllowed_t;69;0;;;;
KnowledgeBase.addTriple;275;0;;;;
StorageAccessManager.setObjectProperty;277;0;;;;
StorageAccessManager.getPropertyNode;0;0;;;;
PolicyManager.getAllowedModel;184;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;186;0;;;;
StorageAccessManager.getDataProperty;188;0;;;;
PolicyManager.getAllowedModel;191;253952;;;;
StorageAccessManager.getPersonByUserId;194;253952;;;;
StorageAccessManager.getPropertyNode;0;0;;;;
PolicyManager.getAllowedModel;196;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;201;0;;;;
StorageAccessManager.getObjectProperty;238;0;;;;
StorageAccessManager.getPropertyNode;1;0;;;;
PolicyManager.isAllowed_t;70;0;;;;
KnowledgeBase.addTriple;289;-8192;;;;
StorageAccessManager.setObjectProperty;291;-8192;;;;
StorageAccessManager.getPropertyNode;1;0;;;;
PolicyManager.getAllowedModel;188;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;190;0;;;;
StorageAccessManager.getDataProperty;192;0;;;;
PolicyManager.getAllowedModel;183;0;;;;
StorageAccessManager.getPersonByUserId;187;0;;;;
StorageAccessManager.getPropertyNode;1;0;;;;
PolicyManager.getAllowedModel;193;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;200;0;;;;
StorageAccessManager.getObjectProperty;244;0;;;;
StorageAccessManager.getPropertyNode;0;0;;;;
PolicyManager.isAllowed_t;68;0;;;;
KnowledgeBase.addTriple;263;-253952;;;;
StorageAccessManager.setObjectProperty;266;-253952;;;;
StorageAccessManager.getPropertyNode;1;0;;;;
PolicyManager.getAllowedModel;190;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;191;0;;;;
StorageAccessManager.getDataProperty;192;0;;;;
PolicyManager.getAllowedModel;185;0;;;;
StorageAccessManager.getPersonByUserId;187;0;;;;
StorageAccessManager.getPropertyNode;0;0;;;;
PolicyManager.getAllowedModel;194;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;199;0;;;;
StorageAccessManager.getObjectProperty;237;0;;;;
StorageAccessManager.getPropertyNode;1;0;;;;
PolicyManager.isAllowed_t;72;0;;;;
KnowledgeBase.addTriple;278;0;;;;
StorageAccessManager.setObjectProperty;279;0;;;;
StorageAccessManager.getPropertyNode;0;0;;;;
PolicyManager.getAllowedModel;189;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;190;0;;;;
StorageAccessManager.getDataProperty;193;0;;;;
PolicyManager.getAllowedModel;184;0;;;;
StorageAccessManager.getPersonByUserId;187;0;;;;
StorageAccessManager.getPropertyNode;0;0;;;;
PolicyManager.getAllowedModel;191;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;194;0;;;;
StorageAccessManager.getObjectProperty;213;0;;;;
StorageAccessManager.getPropertyNode;1;0;;;;
PolicyManager.isAllowed_t;123;0;;;;
KnowledgeBase.addTriple;268;0;;;;
StorageAccessManager.setObjectProperty;270;0;;;;
StorageAccessManager.getPropertyNode;1;0;;;;
PolicyManager.getAllowedModel;197;4096;;;;
KnowledgeBase.getPropertyObjectAsTriples;199;4096;;;;
StorageAccessManager.getDataProperty;201;4096;;;;
PolicyManager.getAllowedModel;182;0;;;;
StorageAccessManager.getPersonByUserId;185;0;;;;
StorageAccessManager.getPropertyNode;1;0;;;;
PolicyManager.getAllowedModel;196;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;202;0;;;;
StorageAccessManager.getObjectProperty;240;0;;;;
StorageAccessManager.getPropertyNode;0;0;;;;
PolicyManager.isAllowed_t;82;0;;;;
KnowledgeBase.addTriple;268;0;;;;
StorageAccessManager.setObjectProperty;270;0;;;;
StorageAccessManager.getPropertyNode;1;0;;;;
PolicyManager.getAllowedModel;195;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;197;0;;;;
StorageAccessManager.getDataProperty;199;0;;;;
PolicyManager.getAllowedModel;185;0;;;;
StorageAccessManager.getPersonByUserId;188;0;;;;
StorageAccessManager.getPropertyNode;1;0;;;;
PolicyManager.getAllowedModel;194;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;199;0;;;;
StorageAccessManager.getObjectProperty;233;0;;;;
StorageAccessManager.getPropertyNode;1;0;;;;
PolicyManager.isAllowed_t;72;0;;;;
KnowledgeBase.addTriple;273;0;;;;
StorageAccessManager.setObjectProperty;274;0;;;;
StorageAccessManager.getPropertyNode;1;0;;;;
PolicyManager.getAllowedModel;192;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;193;0;;;;
StorageAccessManager.getDataProperty;195;0;;;;
PolicyManager.getAllowedModel;186;0;;;;
StorageAccessManager.getPersonByUserId;189;0;;;;
StorageAccessManager.getPropertyNode;1;0;;;;
PolicyManager.getAllowedModel;195;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;200;0;;;;
StorageAccessManager.getObjectProperty;234;0;;;;
StorageAccessManager.getPropertyNode;0;0;;;;
PolicyManager.isAllowed_t;72;0;;;;
KnowledgeBase.addTriple;286;0;;;;
StorageAccessManager.setObjectProperty;288;0;;;;
StorageAccessManager.getPropertyNode;1;0;;;;
PolicyManager.getAllowedModel;191;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;192;0;;;;
StorageAccessManager.getDataProperty;194;0;;;;
PolicyManager.getAllowedModel;188;0;;;;
StorageAccessManager.getPersonByUserId;190;0;;;;
StorageAccessManager.getPropertyNode;1;0;;;;
PolicyManager.getAllowedModel;193;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;198;0;;;;
StorageAccessManager.getObjectProperty;225;0;;;;
StorageAccessManager.getPropertyNode;1;0;;;;
PolicyManager.isAllowed_t;75;0;;;;
KnowledgeBase.addTriple;274;0;;;;
StorageAccessManager.setObjectProperty;276;0;;;;
StorageAccessManager.getPropertyNode;1;0;;;;
PolicyManager.getAllowedModel;193;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;194;0;;;;
StorageAccessManager.getDataProperty;196;0;;;;
PolicyManager.getAllowedModel;188;0;;;;
StorageAccessManager.getPersonByUserId;191;0;;;;
StorageAccessManager.getPropertyNode;1;0;;;;
PolicyManager.getAllowedModel;198;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;203;0;;;;
StorageAccessManager.getObjectProperty;240;0;;;;
